milieu,diplome,annee,taux_chomage
Urbain,Diplômes de l'enseignement secondaire qualifiant,2021,22.0
Urbain,Diplômes de l'enseignement supérieur,2021,24.5
Urbain,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2021,29.0
Urbain,Diplômes en qualification/spécialisation professionnelle,2021,26.0
Urbain,Aucun diplôme,2021,7.8
Urbain,Total,2021,16.9
Rural,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2021,8.3
Rural,Diplômes de l'enseignement secondaire qualifiant,2021,21.2
Rural,Diplômes de l'enseignement supérieur,2021,35.1
Rural,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2021,24.3
Rural,Diplômes en qualification/spécialisation professionnelle,2021,21.9
Rural,Aucun diplôme,2021,2.1
Rural,Total,2021,5.0
National,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2020,14.1
National,Diplômes de l'enseignement secondaire qualifiant,2020,19.2
National,Diplômes de l'enseignement supérieur,2020,23.9
National,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2020,26.4
National,Diplômes en qualification/spécialisation professionnelle,2020,23.6
National,Aucun diplôme,2020,5.6
National,Total,2020,11.9
Urbain,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2020,16.0
Urbain,Diplômes de l'enseignement secondaire qualifiant,2020,19.4
Urbain,Diplômes de l'enseignement supérieur,2020,22.4
Urbain,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2020,26.3
Urbain,Diplômes en qualification/spécialisation professionnelle,2020,24.1
Urbain,Aucun diplôme,2020,8.5
Urbain,Total,2020,15.8
Rural,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2020,9.7
Rural,Diplômes de l'enseignement secondaire qualifiant,2020,18.1
Rural,Diplômes de l'enseignement supérieur,2020,40.0
Rural,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2020,28.8
Rural,Diplômes en qualification/spécialisation professionnelle,2020,20.7
Rural,Aucun diplôme,2020,3.3
Rural,Total,2020,5.9
