milieu,province,annee,taux_activite,taux_emploi,taux_chomage
Urbain,Mohammadia,2024,42.1,36.7,12.8
Urbain,Mohammadia,2025,43.0,36.9,14.2
National,Moulay Yacoub,2017,49.4,47.0,
National,Moulay Yacoub,2018,51.3,49.8,
National,Moulay Yacoub,2019,48.1,46.1,
National,Moulay Yacoub,2020,49.5,47.3,
National,Moulay Yacoub,2021,47.4,44.7,
National,Moulay Yacoub,2022,42.8,39.3,8.0
National,Moulay Yacoub,2023,43.4,39.1,10.1
National,Moulay Yacoub,2024,43.2,38.6,10.6
National,Moulay Yacoub,2025,48.1,44.1,8.4
Rural,Moulay Yacoub,2017,50.2,48.7,
Rural,Moulay Yacoub,2018,52.4,51.1,
Rural,Moulay Yacoub,2019,50.6,49.1,
Rural,Moulay Yacoub,2020,51.6,49.7,
Rural,Moulay Yacoub,2021,49.0,46.3,
Rural,Moulay Yacoub,2022,43.7,40.3,
Rural,Moulay Yacoub,2023,44.7,40.0,10.5
Rural,Moulay Yacoub,2024,44.4,39.8,10.3
Rural,Moulay Yacoub,2025,48.5,44.6,8.0
Urbain,Moulay Yacoub,2017,44.5,37.2,
Urbain,Moulay Yacoub,2018,45.7,42.8,
Urbain,Moulay Yacoub,2019,35.9,31.8,
Urbain,Moulay Yacoub,2020,39.4,35.8,
Urbain,Moulay Yacoub,2021,39.0,36.0,
Urbain,Moulay Yacoub,2022,37.1,,
Urbain,Moulay Yacoub,2023,36.5,33.9,
Urbain,Moulay Yacoub,2024,36.3,31.7,
Urbain,Moulay Yacoub,2025,46.4,41.3,
National,Médiouna,2017,48.3,43.6,9.7
National,Médiouna,2018,46.3,43.1,
National,Médiouna,2019,43.4,40.5,6.7
National,Médiouna,2020,42.9,39.0,9.1
National,Médiouna,2021,44.8,41.4,7.6
National,Médiouna,2022,45.3,40.0,11.7
National,Médiouna,2023,44.4,39.6,10.7
National,Médiouna,2024,41.9,38.7,7.7
National,Médiouna,2025,44.4,40.4,9.1
Rural,Médiouna,2017,52.8,47.4,
Rural,Médiouna,2018,50.0,46.2,
Rural,Médiouna,2019,45.4,42.7,
Rural,Médiouna,2020,44.2,42.0,
Rural,Médiouna,2021,47.5,45.6,
Rural,Médiouna,2022,49.3,43.0,
Rural,Médiouna,2023,47.1,43.0,
Rural,Médiouna,2024,44.3,41.6,
Rural,Médiouna,2025,45.6,42.0,
Urbain,Médiouna,2017,46.4,42.0,9.5
Urbain,Médiouna,2018,44.6,41.6,
Urbain,Médiouna,2019,42.6,39.6,
Urbain,Médiouna,2020,42.5,38.0,10.5
Urbain,Médiouna,2021,43.8,39.8,9.1
Urbain,Médiouna,2022,43.9,39.0,11.3
Urbain,Médiouna,2023,43.5,38.5,11.4
Urbain,Médiouna,2024,41.1,37.6,8.3
Urbain,Médiouna,2025,44.0,39.8,9.5
National,Nador,2017,44.4,37.7,15.1
National,Nador,2018,43.9,38.0,13.5
National,Nador,2019,43.2,37.8,12.7
National,Nador,2020,41.3,32.5,21.4
National,Nador,2021,41.9,34.0,18.7
National,Nador,2022,40.5,33.2,18.1
National,Nador,2023,39.1,31.7,19.0
National,Nador,2024,39.7,31.5,20.6
National,Nador,2025,40.0,31.3,21.7
Rural,Nador,2017,49.0,44.6,8.9
Rural,Nador,2018,48.0,43.8,8.7
Rural,Nador,2019,45.4,41.0,9.6
Rural,Nador,2020,43.4,36.4,16.0
Rural,Nador,2021,45.3,40.9,9.6
Rural,Nador,2022,43.1,37.1,13.8
Rural,Nador,2023,39.9,32.9,17.4
Rural,Nador,2024,41.4,33.0,20.1
Rural,Nador,2025,43.3,34.0,21.5
Urbain,Nador,2017,42.7,35.1,17.7
Urbain,Nador,2018,42.5,35.9,15.5
Urbain,Nador,2019,42.5,36.7,13.8
Urbain,Nador,2020,40.6,31.2,23.2
Urbain,Nador,2021,40.8,31.9,21.9
Urbain,Nador,2022,39.7,32.0,19.5
Urbain,Nador,2023,38.9,31.3,19.5
Urbain,Nador,2024,39.2,31.1,20.8
Urbain,Nador,2025,39.1,30.6,21.7
National,Nouaceur,2017,51.1,47.9,6.3
National,Nouaceur,2018,49.5,45.9,7.3
National,Nouaceur,2019,51.0,46.8,8.3
National,Nouaceur,2020,49.5,45.5,8.2
National,Nouaceur,2021,49.7,44.5,10.3
National,Nouaceur,2022,46.9,41.7,11.1
National,Nouaceur,2023,49.7,42.2,14.9
National,Nouaceur,2024,50.8,42.8,15.8
National,Nouaceur,2025,51.5,44.4,13.8
Rural,Nouaceur,2017,54.1,53.2,
Rural,Nouaceur,2018,52.5,50.4,
Rural,Nouaceur,2019,51.0,48.5,
Rural,Nouaceur,2020,49.8,47.1,
Rural,Nouaceur,2021,49.7,46.5,
Rural,Nouaceur,2022,43.5,38.4,
Rural,Nouaceur,2023,44.6,37.6,
Rural,Nouaceur,2024,47.5,40.2,
Rural,Nouaceur,2025,49.0,42.8,
Urbain,Nouaceur,2017,50.6,46.9,7.3
Urbain,Nouaceur,2018,49.0,45.1,7.9
Urbain,Nouaceur,2019,51.0,46.5,8.9
Urbain,Nouaceur,2020,49.5,45.2,8.5
Urbain,Nouaceur,2021,49.7,44.2,11.0
Urbain,Nouaceur,2022,47.4,42.2,11.0
Urbain,Nouaceur,2023,50.5,43.0,14.8
Urbain,Nouaceur,2024,51.3,43.2,15.9
Urbain,Nouaceur,2025,51.8,44.6,13.9
National,Ouarzazate,2017,42.3,40.0,5.4
National,Ouarzazate,2018,42.2,39.6,6.1
National,Ouarzazate,2019,42.8,40.4,5.5
National,Ouarzazate,2020,45.0,39.7,11.8
National,Ouarzazate,2021,48.1,43.4,9.8
National,Ouarzazate,2022,45.8,41.8,8.7
National,Ouarzazate,2023,46.6,40.0,14.1
National,Ouarzazate,2024,46.3,42.0,9.4
National,Ouarzazate,2025,45.3,40.9,9.7
Rural,Ouarzazate,2017,46.3,44.8,
Rural,Ouarzazate,2018,47.9,46.4,
Rural,Ouarzazate,2019,48.1,47.3,
Rural,Ouarzazate,2020,50.6,46.2,8.6
Rural,Ouarzazate,2021,52.6,49.7,
Rural,Ouarzazate,2022,50.1,46.9,
Rural,Ouarzazate,2023,50.7,45.3,10.7
Rural,Ouarzazate,2024,49.9,47.1,
Rural,Ouarzazate,2025,48.0,45.4,
Urbain,Ouarzazate,2017,36.5,33.1,
Urbain,Ouarzazate,2018,34.6,30.6,11.5
Urbain,Ouarzazate,2019,35.9,31.6,12.0
Urbain,Ouarzazate,2020,37.1,30.5,17.8
Urbain,Ouarzazate,2021,42.0,35.0,16.8
Urbain,Ouarzazate,2022,39.9,34.9,12.6
Urbain,Ouarzazate,2023,41.1,33.0,19.8
Urbain,Ouarzazate,2024,41.7,35.4,15.3
Urbain,Ouarzazate,2025,41.7,35.0,16.0
National,Oued Ed-Dahab,2017,71.9,66.6,7.4
National,Oued Ed-Dahab,2018,69.0,64.7,6.3
National,Oued Ed-Dahab,2019,64.1,60.0,6.5
National,Oued Ed-Dahab,2020,55.2,50.6,8.2
National,Oued Ed-Dahab,2021,54.8,49.7,9.1
National,Oued Ed-Dahab,2022,58.7,53.8,8.3
National,Oued Ed-Dahab,2023,60.5,56.5,6.6
National,Oued Ed-Dahab,2024,61.1,53.0,13.4
National,Oued Ed-Dahab,2025,59.5,53.2,10.6
Rural,Oued Ed-Dahab,2020,78.2,78.2,
Urbain,Oued Ed-Dahab,2017,57.4,49.4,13.9
Urbain,Oued Ed-Dahab,2018,56.4,50.2,10.8
Urbain,Oued Ed-Dahab,2019,53.5,47.9,10.5
Urbain,Oued Ed-Dahab,2020,49.8,44.2,11.2
Urbain,Oued Ed-Dahab,2021,50.4,44.8,11.2
Urbain,Oued Ed-Dahab,2022,50.5,44.4,12.1
Urbain,Oued Ed-Dahab,2023,52.2,47.3,9.3
Urbain,Oued Ed-Dahab,2024,54.0,44.3,17.9
Urbain,Oued Ed-Dahab,2025,54.5,47.9,12.1
National,Ouezzane,2017,47.0,43.6,7.2
National,Ouezzane,2018,44.9,41.7,7.2
National,Ouezzane,2019,43.5,39.8,8.4
National,Ouezzane,2020,46.8,44.7,4.5
National,Ouezzane,2021,54.8,51.7,5.5
National,Ouezzane,2022,52.7,50.4,4.3
National,Ouezzane,2023,50.4,47.9,4.9
National,Ouezzane,2024,47.8,44.7,6.4
National,Ouezzane,2025,47.9,44.3,7.4
Rural,Ouezzane,2017,49.3,47.3,
Rural,Ouezzane,2018,46.8,44.8,4.4
Rural,Ouezzane,2019,44.7,42.5,5.1
Rural,Ouezzane,2020,48.8,47.3,
Rural,Ouezzane,2021,59.6,57.8,
Rural,Ouezzane,2022,56.2,55.1,
Rural,Ouezzane,2023,54.0,52.1,
Rural,Ouezzane,2024,51.1,49.0,
Rural,Ouezzane,2025,51.3,49.1,
Urbain,Ouezzane,2017,40.1,32.6,18.8
Urbain,Ouezzane,2018,39.4,32.9,
Urbain,Ouezzane,2019,40.0,32.6,18.5
Urbain,Ouezzane,2020,41.8,38.3,
Urbain,Ouezzane,2021,41.9,35.7,14.7
Urbain,Ouezzane,2022,43.4,38.3,11.8
Urbain,Ouezzane,2023,40.5,36.3,
Urbain,Ouezzane,2024,39.0,33.3,14.8
Urbain,Ouezzane,2025,38.8,31.6,18.4
National,Oujda-Angad,2017,44.0,34.9,20.7
National,Oujda-Angad,2018,42.6,34.2,19.7
National,Oujda-Angad,2019,42.1,34.5,18.0
National,Oujda-Angad,2020,41.6,31.8,23.7
National,Oujda-Angad,2021,40.7,32.7,19.8
National,Oujda-Angad,2022,41.6,33.8,18.8
National,Oujda-Angad,2023,39.6,31.1,21.5
National,Oujda-Angad,2024,40.8,31.3,23.3
National,Oujda-Angad,2025,39.4,29.1,26.1
Rural,Oujda-Angad,2017,65.1,60.0,
Rural,Oujda-Angad,2018,62.4,58.9,
Rural,Oujda-Angad,2019,62.8,59.9,
Rural,Oujda-Angad,2020,55.5,50.3,
Rural,Oujda-Angad,2021,56.3,51.5,
Rural,Oujda-Angad,2022,49.7,46.0,
Rural,Oujda-Angad,2023,50.7,44.8,
Rural,Oujda-Angad,2024,50.7,44.5,
Rural,Oujda-Angad,2025,42.3,36.6,
Urbain,Oujda-Angad,2017,42.4,32.9,22.3
Urbain,Oujda-Angad,2018,41.1,32.3,21.3
Urbain,Oujda-Angad,2019,40.6,32.7,19.5
Urbain,Oujda-Angad,2020,40.7,30.6,24.9
Urbain,Oujda-Angad,2021,39.8,31.5,20.8
Urbain,Oujda-Angad,2022,41.1,33.0,19.6
Urbain,Oujda-Angad,2023,38.9,30.3,22.3
Urbain,Oujda-Angad,2024,40.2,30.6,24.1
Urbain,Oujda-Angad,2025,39.2,28.7,26.9
National,Rabat,2017,43.5,36.7,15.7
National,Rabat,2018,43.1,36.9,14.4
National,Rabat,2019,42.8,36.7,14.2
National,Rabat,2020,41.9,35.7,14.8
National,Rabat,2021,41.2,34.3,16.6
National,Rabat,2022,41.9,35.2,16.1
National,Rabat,2023,41.3,35.0,15.2
National,Rabat,2024,43.3,36.8,15.1
National,Rabat,2025,43.2,37.4,13.3
Urbain,Rabat,2017,43.5,36.7,15.7
Urbain,Rabat,2018,43.1,36.9,14.4
Urbain,Rabat,2019,42.8,36.7,14.2
Urbain,Rabat,2020,41.9,35.7,14.8
Urbain,Rabat,2021,41.2,34.3,16.6
Urbain,Rabat,2022,41.9,35.2,16.1
Urbain,Rabat,2023,41.3,35.0,15.2
Urbain,Rabat,2024,43.3,36.8,15.1
Urbain,Rabat,2025,43.2,37.4,13.3
National,Rehamna,2017,48.8,46.7,4.4
National,Rehamna,2018,47.2,45.4,3.7
National,Rehamna,2019,47.1,45.4,3.6
National,Rehamna,2020,44.7,42.8,4.4
National,Rehamna,2021,48.2,46.3,4.0
National,Rehamna,2022,45.8,43.8,4.3
National,Rehamna,2023,47.0,44.3,5.7
National,Rehamna,2024,44.6,42.1,5.5
National,Rehamna,2025,44.5,42.2,5.1
Rural,Rehamna,2017,52.7,51.7,
Rural,Rehamna,2018,51.0,50.3,
Rural,Rehamna,2019,50.7,49.9,
Rural,Rehamna,2020,48.2,47.0,
Rural,Rehamna,2021,51.7,51.0,
Rural,Rehamna,2022,48.6,47.0,
Rural,Rehamna,2023,48.8,47.7,
Rural,Rehamna,2024,46.3,45.4,
Rural,Rehamna,2025,46.1,45.0,
Urbain,Rehamna,2017,41.2,36.8,10.7
Urbain,Rehamna,2018,39.8,35.9,9.9
Urbain,Rehamna,2019,40.0,36.7,
Urbain,Rehamna,2020,38.7,35.2,
Urbain,Rehamna,2021,41.9,37.9,9.6
Urbain,Rehamna,2022,40.8,38.1,
Urbain,Rehamna,2023,44.0,38.5,12.5
Urbain,Rehamna,2024,41.5,36.1,12.9
Urbain,Rehamna,2025,41.6,37.2,10.6
National,Safi,2017,49.5,43.1,13.0
National,Safi,2018,50.2,43.1,14.2
National,Safi,2019,47.8,42.8,10.4
National,Safi,2020,50.3,44.9,10.8
National,Safi,2021,50.9,46.7,8.2
National,Safi,2022,48.7,44.7,8.2
National,Safi,2023,46.1,41.2,10.6
National,Safi,2024,46.2,41.1,10.9
National,Safi,2025,44.6,40.1,9.9
Rural,Safi,2017,55.6,53.8,3.1
Rural,Safi,2018,54.6,51.9,4.9
Rural,Safi,2019,52.3,50.6,3.4
Rural,Safi,2020,55.6,52.3,5.8
Rural,Safi,2021,58.4,56.7,2.9
Rural,Safi,2022,54.0,52.9,
Rural,Safi,2023,51.1,49.2,3.7
Rural,Safi,2024,49.7,47.4,4.6
Rural,Safi,2025,47.9,46.0,4.0
Urbain,Safi,2017,44.4,34.1,23.2
Urbain,Safi,2018,46.5,35.6,23.4
Urbain,Safi,2019,43.7,35.9,17.8
Urbain,Safi,2020,44.6,36.7,17.6
Urbain,Safi,2021,44.0,37.6,14.6
Urbain,Safi,2022,43.8,37.1,15.3
Urbain,Safi,2023,41.6,34.0,18.2
Urbain,Safi,2024,43.2,35.7,17.3
Urbain,Safi,2025,41.7,35.2,15.7
National,Salé,2017,45.0,37.6,16.4
National,Salé,2018,43.9,37.7,14.0
National,Salé,2019,43.5,37.1,14.8
National,Salé,2020,44.0,37.3,15.3
National,Salé,2021,43.5,36.8,15.5
National,Salé,2022,43.1,37.2,13.7
National,Salé,2023,42.9,36.6,14.7
National,Salé,2024,42.0,35.0,16.6
National,Salé,2025,41.8,34.6,17.1
Rural,Salé,2017,59.0,54.9,
Rural,Salé,2018,56.1,52.9,
Rural,Salé,2019,50.4,47.5,
Rural,Salé,2020,46.9,42.6,
Rural,Salé,2021,47.9,42.5,
Rural,Salé,2022,46.3,42.9,
Rural,Salé,2023,44.5,41.3,
Rural,Salé,2024,47.9,41.4,
Rural,Salé,2025,45.8,41.9,
Urbain,Salé,2017,44.3,36.8,17.1
Urbain,Salé,2018,43.2,36.8,14.6
Urbain,Salé,2019,43.1,36.5,15.4
Urbain,Salé,2020,43.9,37.0,15.7
Urbain,Salé,2021,43.3,36.5,15.7
Urbain,Salé,2022,42.9,36.9,14.0
Urbain,Salé,2023,42.8,36.4,15.0
Urbain,Salé,2024,41.7,34.7,16.8
Urbain,Salé,2025,41.6,34.3,17.6
National,Sefrou,2017,42.3,38.7,8.5
National,Sefrou,2018,43.1,39.6,8.0
National,Sefrou,2019,44.3,41.0,7.5
National,Sefrou,2020,41.5,37.6,9.4
National,Sefrou,2021,38.4,34.7,9.8
National,Sefrou,2022,37.0,32.6,11.8
National,Sefrou,2023,35.9,30.8,14.1
National,Sefrou,2024,36.0,30.5,15.2
National,Sefrou,2025,39.5,33.0,16.5
Rural,Sefrou,2017,53.6,50.3,
Rural,Sefrou,2018,52.8,50.3,
Rural,Sefrou,2019,52.0,50.2,
Rural,Sefrou,2020,46.1,44.0,
Rural,Sefrou,2021,43.4,40.1,
Rural,Sefrou,2022,42.9,39.5,
Rural,Sefrou,2023,42.7,38.5,9.9
Rural,Sefrou,2024,40.6,36.6,9.8
Rural,Sefrou,2025,42.7,37.1,13.2
Urbain,Sefrou,2017,33.8,30.0,11.3
Urbain,Sefrou,2018,35.8,31.6,11.6
Urbain,Sefrou,2019,38.7,34.3,11.4
Urbain,Sefrou,2020,38.1,33.0,13.5
Urbain,Sefrou,2021,34.8,30.7,11.7
Urbain,Sefrou,2022,32.6,27.5,15.7
Urbain,Sefrou,2023,31.2,25.5,18.2
Urbain,Sefrou,2024,32.8,26.3,19.8
Urbain,Sefrou,2025,37.2,30.1,19.2
National,Settat,2017,52.4,50.1,4.3
National,Settat,2018,53.5,51.8,3.0
National,Settat,2019,55.1,53.3,3.2
National,Settat,2020,49.9,46.5,6.7
National,Settat,2021,47.1,44.8,4.8
National,Settat,2022,46.1,43.6,5.4
National,Settat,2023,46.8,43.2,7.8
National,Settat,2024,45.6,41.6,8.7
National,Settat,2025,46.6,41.7,10.6
Rural,Settat,2017,61.9,61.0,
Rural,Settat,2018,64.0,63.8,
Rural,Settat,2019,65.5,65.2,
Rural,Settat,2020,59.0,56.8,3.7
Rural,Settat,2021,56.3,55.6,
Rural,Settat,2022,54.5,53.5,
Rural,Settat,2023,53.4,51.5,3.6
Rural,Settat,2024,50.4,48.3,4.2
Rural,Settat,2025,48.8,46.1,5.7
Urbain,Settat,2017,37.9,33.6,11.3
Urbain,Settat,2018,38.7,35.2,9.0
Urbain,Settat,2019,39.8,35.9,9.9
Urbain,Settat,2020,37.8,33.1,12.7
Urbain,Settat,2021,34.7,30.3,12.5
Urbain,Settat,2022,35.2,30.7,12.7
Urbain,Settat,2023,38.5,32.7,15.1
Urbain,Settat,2024,39.4,33.1,16.1
Urbain,Settat,2025,43.8,36.0,17.7
National,Sidi Bennour,2017,68.5,65.3,4.6
National,Sidi Bennour,2018,67.1,64.8,3.4
National,Sidi Bennour,2019,63.4,60.5,4.6
National,Sidi Bennour,2020,59.0,56.1,4.9
National,Sidi Bennour,2021,60.8,56.9,6.5
National,Sidi Bennour,2022,60.6,56.4,6.9
National,Sidi Bennour,2023,54.0,49.3,8.7
National,Sidi Bennour,2024,55.1,49.8,9.6
National,Sidi Bennour,2025,54.1,50.1,7.5
Rural,Sidi Bennour,2017,73.4,71.8,2.2
Rural,Sidi Bennour,2018,71.9,71.0,
Rural,Sidi Bennour,2019,67.7,66.1,2.4
Rural,Sidi Bennour,2020,63.2,61.0,3.5
Rural,Sidi Bennour,2021,64.4,61.5,4.5
Rural,Sidi Bennour,2022,64.8,61.8,4.7
Rural,Sidi Bennour,2023,56.0,52.3,6.6
Rural,Sidi Bennour,2024,57.2,53.2,7.1
Rural,Sidi Bennour,2025,56.8,53.7,5.5
Urbain,Sidi Bennour,2017,50.5,41.9,17.0
Urbain,Sidi Bennour,2018,48.8,41.4,15.1
Urbain,Sidi Bennour,2019,48.2,40.6,15.7
Urbain,Sidi Bennour,2020,45.6,40.3,11.5
Urbain,Sidi Bennour,2021,48.2,40.7,15.5
Urbain,Sidi Bennour,2022,46.8,38.7,17.2
Urbain,Sidi Bennour,2023,48.0,40.0,16.7
Urbain,Sidi Bennour,2024,48.1,38.9,19.1
Urbain,Sidi Bennour,2025,45.9,39.1,14.9
National,Sidi Ifni,2017,44.2,39.4,10.7
National,Sidi Ifni,2018,41.5,37.0,10.7
National,Sidi Ifni,2019,46.5,43.0,7.6
National,Sidi Ifni,2020,42.2,37.0,12.2
National,Sidi Ifni,2021,41.8,36.6,12.4
National,Sidi Ifni,2022,39.8,34.6,13.1
National,Sidi Ifni,2023,42.2,35.4,16.0
National,Sidi Ifni,2024,39.7,35.2,11.3
National,Sidi Ifni,2025,39.3,35.6,9.6
Rural,Sidi Ifni,2017,45.5,41.5,8.6
Rural,Sidi Ifni,2018,41.8,37.8,9.7
Rural,Sidi Ifni,2019,50.6,47.8,
Rural,Sidi Ifni,2020,43.6,39.5,
Rural,Sidi Ifni,2021,43.0,39.2,
Rural,Sidi Ifni,2022,38.9,34.4,
Rural,Sidi Ifni,2023,43.0,36.2,15.8
Rural,Sidi Ifni,2024,40.3,36.3,
Rural,Sidi Ifni,2025,41.1,37.5,
Urbain,Sidi Ifni,2017,40.9,34.2,
Urbain,Sidi Ifni,2018,40.6,35.2,
Urbain,Sidi Ifni,2019,37.3,32.1,
Urbain,Sidi Ifni,2020,38.9,31.5,
Urbain,Sidi Ifni,2021,38.8,30.3,
Urbain,Sidi Ifni,2022,42.1,35.2,
Urbain,Sidi Ifni,2023,40.2,33.5,
Urbain,Sidi Ifni,2024,38.2,32.6,
Urbain,Sidi Ifni,2025,35.4,31.4,
National,Sidi Kacem,2017,49.5,46.1,6.9
National,Sidi Kacem,2018,48.8,45.3,7.1
National,Sidi Kacem,2019,48.3,45.2,6.4
National,Sidi Kacem,2020,45.2,41.3,8.6
National,Sidi Kacem,2021,45.8,41.9,8.4
National,Sidi Kacem,2022,46.9,43.6,7.1
National,Sidi Kacem,2023,46.0,42.6,7.3
National,Sidi Kacem,2024,44.1,40.6,7.9
National,Sidi Kacem,2025,42.1,38.9,7.7
Rural,Sidi Kacem,2017,54.6,52.3,4.2
Rural,Sidi Kacem,2018,54.0,51.8,4.0
Rural,Sidi Kacem,2019,53.0,51.3,3.2
Rural,Sidi Kacem,2020,49.3,47.3,4.1
Rural,Sidi Kacem,2021,48.2,45.4,5.8
Rural,Sidi Kacem,2022,50.2,48.2,4.1
Rural,Sidi Kacem,2023,48.5,46.5,4.1
Rural,Sidi Kacem,2024,46.3,44.0,4.8
Rural,Sidi Kacem,2025,43.6,41.2,5.5
Urbain,Sidi Kacem,2017,40.1,34.7,13.6
Urbain,Sidi Kacem,2018,39.3,33.4,14.9
Urbain,Sidi Kacem,2019,39.8,34.2,14.1
Urbain,Sidi Kacem,2020,38.5,31.6,17.9
Urbain,Sidi Kacem,2021,41.4,35.7,13.7
Urbain,Sidi Kacem,2022,41.2,35.7,13.3
Urbain,Sidi Kacem,2023,41.5,35.7,13.8
Urbain,Sidi Kacem,2024,40.4,34.9,13.6
Urbain,Sidi Kacem,2025,39.6,34.9,11.9
National,Sidi Slimane,2017,49.7,43.6,12.3
National,Sidi Slimane,2018,48.6,43.1,11.4
National,Sidi Slimane,2019,47.2,42.9,9.1
National,Sidi Slimane,2020,45.3,38.9,14.2
National,Sidi Slimane,2021,45.6,41.4,9.2
National,Sidi Slimane,2022,46.0,42.6,7.3
National,Sidi Slimane,2023,45.7,41.2,9.8
National,Sidi Slimane,2024,44.9,40.3,10.1
National,Sidi Slimane,2025,41.6,37.0,11.0
Rural,Sidi Slimane,2017,55.0,50.8,7.6
Rural,Sidi Slimane,2018,53.1,49.1,7.6
Rural,Sidi Slimane,2019,50.0,46.6,6.8
Rural,Sidi Slimane,2020,47.0,43.2,8.0
Rural,Sidi Slimane,2021,49.3,46.5,
Rural,Sidi Slimane,2022,49.3,47.1,
Rural,Sidi Slimane,2023,48.6,45.7,
Rural,Sidi Slimane,2024,47.4,43.6,8.0
Rural,Sidi Slimane,2025,43.5,40.1,7.8
Urbain,Sidi Slimane,2017,43.3,34.7,19.7
Urbain,Sidi Slimane,2018,43.4,36.1,16.7
Urbain,Sidi Slimane,2019,43.9,38.5,12.2
Urbain,Sidi Slimane,2020,43.6,34.4,21.1
Urbain,Sidi Slimane,2021,41.2,35.3,14.3
Urbain,Sidi Slimane,2022,41.7,36.7,11.9
Urbain,Sidi Slimane,2023,42.2,35.9,15.0
Urbain,Sidi Slimane,2024,41.9,36.5,12.9
Urbain,Sidi Slimane,2025,39.5,33.5,15.1
National,Skhirate-Témara,2017,46.2,39.5,14.5
National,Skhirate-Témara,2018,44.6,39.2,12.0
National,Skhirate-Témara,2019,45.0,40.0,10.9
National,Skhirate-Témara,2020,43.9,38.4,12.4
National,Skhirate-Témara,2021,44.4,39.1,11.9
National,Skhirate-Témara,2022,45.1,40.0,11.2
National,Skhirate-Témara,2023,45.5,39.8,12.4
National,Skhirate-Témara,2024,45.4,38.6,14.8
National,Skhirate-Témara,2025,44.9,38.9,13.5
Rural,Skhirate-Témara,2017,52.8,48.3,
Rural,Skhirate-Témara,2018,51.8,47.6,
Rural,Skhirate-Témara,2019,52.0,49.1,
Rural,Skhirate-Témara,2020,51.2,47.2,
Rural,Skhirate-Témara,2021,42.6,38.2,
Rural,Skhirate-Témara,2022,43.4,39.5,
Rural,Skhirate-Témara,2023,47.4,44.0,
Rural,Skhirate-Témara,2024,44.7,40.0,
Rural,Skhirate-Témara,2025,43.0,37.3,
Urbain,Skhirate-Témara,2017,45.6,38.6,15.2
Urbain,Skhirate-Témara,2018,44.0,38.5,12.5
Urbain,Skhirate-Témara,2019,44.3,39.2,11.5
Urbain,Skhirate-Témara,2020,43.2,37.6,12.9
Urbain,Skhirate-Témara,2021,44.6,39.2,12.1
Urbain,Skhirate-Témara,2022,45.2,40.0,11.4
Urbain,Skhirate-Témara,2023,45.3,39.4,12.9
Urbain,Skhirate-Témara,2024,45.4,38.5,15.1
Urbain,Skhirate-Témara,2025,45.1,39.0,13.5
National,Tan-Tan,2017,43.0,32.8,23.6
National,Tan-Tan,2018,41.3,30.7,25.8
National,Tan-Tan,2019,43.8,34.7,20.8
National,Tan-Tan,2020,43.6,33.4,23.4
National,Tan-Tan,2021,44.2,35.3,20.1
National,Tan-Tan,2022,42.8,34.7,19.0
National,Tan-Tan,2023,42.8,34.8,18.6
National,Tan-Tan,2024,39.9,32.6,18.2
National,Tan-Tan,2025,43.7,34.1,21.8
Urbain,Tan-Tan,2017,43.7,33.5,23.3
Urbain,Tan-Tan,2018,42.2,31.4,25.6
Urbain,Tan-Tan,2019,43.7,34.4,21.3
Urbain,Tan-Tan,2020,43.3,32.9,23.9
Urbain,Tan-Tan,2021,43.9,34.9,20.5
Urbain,Tan-Tan,2022,43.6,35.3,19.0
Urbain,Tan-Tan,2023,42.8,34.8,18.6
Urbain,Tan-Tan,2024,39.9,32.6,18.2
Urbain,Tan-Tan,2025,43.6,34.1,21.8
National,Tanger-Assilah,2017,41.9,38.4,8.4
National,Tanger-Assilah,2018,42.7,39.6,7.4
National,Tanger-Assilah,2019,43.4,39.5,8.9
National,Tanger-Assilah,2020,44.8,39.9,11.0
National,Tanger-Assilah,2021,45.8,39.9,12.9
National,Tanger-Assilah,2022,47.0,41.2,12.4
National,Tanger-Assilah,2023,46.8,41.9,10.5
National,Tanger-Assilah,2024,46.8,41.2,12.1
National,Tanger-Assilah,2025,44.4,39.6,10.9
Rural,Tanger-Assilah,2017,51.4,47.3,
Rural,Tanger-Assilah,2018,51.4,48.9,
Rural,Tanger-Assilah,2019,47.2,46.0,
Rural,Tanger-Assilah,2020,50.4,46.5,
Rural,Tanger-Assilah,2021,48.5,47.0,
Rural,Tanger-Assilah,2022,50.9,47.0,
Rural,Tanger-Assilah,2023,46.7,43.4,
Rural,Tanger-Assilah,2024,48.8,46.1,
Rural,Tanger-Assilah,2025,43.5,40.5,
Urbain,Tanger-Assilah,2017,41.3,37.8,8.4
Urbain,Tanger-Assilah,2018,42.3,39.1,7.5
Urbain,Tanger-Assilah,2019,43.2,39.1,9.3
Urbain,Tanger-Assilah,2020,44.5,39.5,11.2
Urbain,Tanger-Assilah,2021,45.7,39.6,13.4
Urbain,Tanger-Assilah,2022,46.8,40.9,12.6
Urbain,Tanger-Assilah,2023,46.8,41.8,10.7
Urbain,Tanger-Assilah,2024,46.7,40.9,12.4
Urbain,Tanger-Assilah,2025,44.5,39.6,11.1
National,Taounate,2017,54.3,53.5,1.5
National,Taounate,2018,51.4,50.6,1.5
National,Taounate,2019,51.5,50.6,1.6
National,Taounate,2020,49.3,47.2,4.2
National,Taounate,2021,48.1,46.4,3.6
National,Taounate,2022,48.3,46.7,3.4
National,Taounate,2023,45.8,44.6,2.7
National,Taounate,2024,43.6,41.7,4.3
National,Taounate,2025,43.4,39.9,7.9
Rural,Taounate,2017,56.8,56.2,
Rural,Taounate,2018,53.8,53.3,
