Périodes,,2025,2024,2023,2022,2021,2020,2019,2018,2017
Milieu,Provinces/Préfectures,,,,,,,,,
,Laâyoune,30.0,31.1,31.9,31.1,29.6,28.9,30.6,33.1,33.3
,Tarfaya,43.3,,,,,,,32.3,41.4
,Oued Ed-Dahab,53.2,53.0,56.5,53.8,49.7,50.6,60.0,64.7,66.6
Urbain,Al Hoceima,33.5,33.8,31.2,33.6,33.5,35.4,37.1,36.8,37.0
,Chefchaouen,35.5,31.9,32.5,32.7,32.1,33.6,36.8,38.4,39.0
,Fahs-Anjra,,,,,,,,,
,Larache,37.6,36.4,36.5,37.3,38.1,36.7,35.5,35.8,34.8
,Ouezzane,31.6,33.3,36.3,38.3,35.7,38.3,32.6,32.9,32.6
,Tanger-Assilah,39.6,40.9,41.8,40.9,39.6,39.5,39.1,39.1,37.8
,Tétouan,37.5,36.0,36.3,39.0,38.9,38.6,37.8,37.5,38.2
,M'Diq-Fnideq,38.2,36.7,36.9,39.4,38.2,38.4,41.6,41.6,42.0
,Berkane,30.5,32.2,32.3,35.0,33.8,33.9,35.3,34.6,32.6
,Driouch,32.6,31.9,29.8,34.2,36.9,36.7,37.3,36.0,37.4
,Figuig,31.2,28.9,30.8,32.6,31.5,28.3,31.9,33.5,32.3
,Guercif,35.7,32.1,30.0,36.0,36.2,36.9,37.2,34.1,34.2
,Jerada,29.7,29.5,28.5,29.4,28.7,27.9,29.0,28.4,29.4
,Nador,30.6,31.1,31.3,32.0,31.9,31.2,36.7,35.9,35.1
,Oujda-Angad,28.7,30.6,30.3,33.0,31.5,30.6,32.7,32.3,32.9
,Taourirt,29.3,28.4,29.3,31.2,31.9,30.7,35.0,34.6,32.6
,Meknès,33.3,34.2,33.1,32.6,33.5,32.2,34.2,33.7,32.4
,Boulemane,30.4,29.4,27.0,26.2,22.8,29.0,29.5,25.8,24.9
,El Hajeb,34.4,36.0,33.5,32.2,32.6,30.3,31.6,33.8,33.1
,Fès,34.9,32.8,31.9,32.2,31.2,33.0,34.1,31.8,32.1
,Ifrane,39.1,37.3,36.7,36.6,36.2,33.1,35.8,35.6,36.7
,Sefrou,30.1,26.3,25.5,27.5,30.7,33.0,34.3,31.6,30.0
,Taounate,31.1,30.2,30.2,32.3,32.4,38.8,39.5,34.0,36.3
,Taza,28.9,29.1,29.4,28.9,28.7,28.2,28.6,27.7,29.0
,Moulay Yacoub,41.3,31.7,33.9,,36.0,35.8,31.8,42.8,37.2
,Kénitra,35.0,36.0,36.8,37.2,36.6,35.9,37.1,36.9,37.9
,Khémisset,29.5,29.1,28.4,28.7,28.7,28.7,30.2,28.7,29.1
,Rabat,37.4,36.8,35.0,35.2,34.3,35.7,36.7,36.9,36.7
,Salé,34.3,34.7,36.4,36.9,36.5,37.0,36.5,36.8,36.8
,Sidi Kacem,34.9,34.9,35.7,35.7,35.7,31.6,34.2,33.4,34.7
,Sidi Slimane,33.5,36.5,35.9,36.7,35.3,34.4,38.5,36.1,34.7
,Skhirate-Témara,39.0,38.5,39.4,40.0,39.2,37.6,39.2,38.5,38.6
,Azilal,24.1,21.1,23.7,25.9,28.6,29.7,30.9,28.9,27.9
,Béni Mellal,28.0,26.7,26.5,29.1,31.6,31.4,33.4,31.4,32.8
,Fquih Ben Salah,35.1,35.3,35.6,34.9,35.2,34.8,36.1,35.8,37.3
,Khénifra,26.8,27.7,26.3,30.2,32.1,27.9,31.7,31.5,33.0
,Khouribga,33.4,33.1,31.1,32.9,32.5,33.0,33.0,30.6,32.3
,Benslimane,37.7,36.6,35.2,36.7,39.5,39.7,44.4,38.9,40.6
,Berrechid,38.5,38.5,36.3,37.0,37.4,36.3,38.6,36.3,37.4
,Casablanca,36.1,35.7,35.8,36.3,36.3,36.7,40.3,39.2,38.6
,El Jadida,36.6,37.4,38.2,39.3,34.4,37.5,37.5,37.7,39.4
,Médiouna,39.8,37.6,38.5,39.0,39.8,38.0,39.6,41.6,42.0
,Mohammadia,36.9,36.7,37.1,35.9,35.8,38.4,36.7,36.7,37.4
,Nouaceur,44.6,43.2,43.0,42.2,44.2,45.2,46.5,45.1,46.9
,Settat,36.0,33.1,32.7,30.7,30.3,33.1,35.9,35.2,33.6
,Sidi Bennour,39.1,38.9,40.0,38.7,40.7,40.3,40.6,41.4,41.9
,Al Haouz,35.1,36.2,39.2,36.2,37.5,34.1,38.3,37.2,35.8
,Chichaoua,34.3,36.8,38.4,36.0,36.6,38.6,41.8,42.5,40.1
,El Kelâa des Sraghna,37.1,35.3,34.4,35.9,37.3,36.5,36.2,37.6,34.8
,Essaouira,42.2,40.6,40.5,38.1,35.4,34.8,37.3,39.4,40.0
,Marrakech,38.2,37.2,37.1,36.2,35.4,38.5,39.5,39.8,39.0
,Rehamna,37.2,36.1,38.5,38.1,37.9,35.2,36.7,35.9,36.8
,Safi,35.2,35.7,34.0,37.1,37.6,36.7,35.9,35.6,34.1
,Youssoufia,35.9,32.6,33.9,35.8,33.2,36.2,32.0,27.3,26.4
,Errachidia,29.2,30.5,30.6,32.2,30.8,31.3,30.7,29.2,29.4
,Midelt,26.8,29.0,31.1,29.3,30.5,30.1,31.9,30.7,30.8
,Ouarzazate,35.0,35.4,33.0,34.9,35.0,30.5,31.6,30.6,33.1
,Tinghir,36.4,36.0,33.2,32.4,32.1,31.6,34.5,36.1,37.7
,Zagora,35.5,30.4,33.0,37.0,38.1,34.5,37.1,34.6,32.5
,Agadir-Ida-Ou-Tanane,35.6,35.1,33.0,32.0,33.5,34.3,35.6,34.4,34.8
,Chtouka-Ait Baha,43.3,42.0,41.7,42.8,42.6,42.5,45.4,51.0,49.1
,Inezgane-Ait Melloul,37.0,36.7,35.2,35.1,35.7,34.5,37.3,36.1,36.7
,Taroudannt,36.8,35.3,32.9,33.7,37.1,38.1,38.2,35.2,36.3
,Tata,34.5,34.8,33.6,31.0,34.5,30.3,33.5,34.7,32.8
,Tiznit,34.3,32.4,33.1,34.3,34.2,35.2,34.3,33.9,31.9
,Assa-Zag,25.0,23.3,23.0,27.4,28.5,31.4,24.8,,23.8
,Guelmim,30.0,28.7,27.6,27.7,29.6,29.5,29.6,29.0,30.9
,Sidi Ifni,31.4,32.6,33.5,35.2,30.3,31.5,32.1,35.2,34.2
,Tan-Tan,34.1,32.6,34.8,35.3,34.9,32.9,34.4,31.4,33.5
,Boujdour,31.6,29.7,27.0,27.4,29.3,32.8,33.8,38.5,36.4
,Es-Semara,27.1,29.8,31.8,32.4,32.3,31.4,31.1,34.2,32.1
,Laâyoune,30.0,31.1,31.9,31.1,29.6,28.9,30.6,33.1,33.3
,Tarfaya,,,,,,,,,
,Oued Ed-Dahab,47.9,44.3,47.3,44.4,44.8,44.2,47.9,50.2,49.4
Rural,Al Hoceima,51.7,52.4,53.2,57.0,52.8,43.6,48.1,55.0,54.4
,Chefchaouen,60.5,61.4,59.7,62.0,60.5,49.4,52.0,55.0,55.0
,Fahs-Anjra,33.4,38.5,41.0,40.9,38.6,43.1,41.4,44.4,43.4
,Larache,48.4,48.4,48.8,51.1,54.1,50.2,45.7,47.2,44.4
,Ouezzane,49.1,49.0,52.1,55.1,57.8,47.3,42.5,44.8,47.3
,Tanger-Assilah,40.5,46.1,43.4,47.0,47.0,46.5,46.0,48.9,47.3
,Tétouan,54.0,56.7,56.1,60.1,60.0,51.6,53.4,53.7,53.2
,M'Diq-Fnideq,42.7,33.0,38.3,40.4,48.8,39.4,44.8,46.4,46.6
,Berkane,34.1,38.6,37.7,40.8,41.0,35.1,42.7,44.2,44.8
,Driouch,30.8,28.6,31.6,34.7,35.5,33.1,38.7,36.9,37.1
,Figuig,40.4,36.4,47.9,50.3,49.9,36.3,42.1,49.1,51.8
,Guercif,37.4,36.4,39.5,41.6,44.4,47.0,49.5,47.5,48.6
,Jerada,38.2,36.6,33.3,39.3,37.8,40.8,38.3,47.8,48.3
,Nador,34.0,33.0,32.9,37.1,40.9,36.4,41.0,43.8,44.6
,Oujda-Angad,36.6,44.5,44.8,46.0,51.5,50.3,59.9,58.9,60.0
,Taourirt,35.0,34.5,39.2,40.4,42.8,45.1,42.7,44.1,50.0
,Meknès,38.0,39.1,39.7,39.6,37.4,39.3,42.4,40.8,43.2
,Boulemane,35.1,34.8,36.0,41.4,45.5,43.1,44.7,42.4,43.5
,El Hajeb,44.8,45.5,45.8,43.5,44.3,41.3,45.4,45.5,47.0
,Fès,38.4,40.9,39.7,35.6,37.3,47.6,50.0,38.8,42.7
,Ifrane,53.0,47.3,48.6,52.7,47.8,40.7,46.9,51.0,56.4
,Sefrou,37.1,36.6,38.5,39.5,40.1,44.0,50.2,50.3,50.3
,Taounate,41.7,43.9,47.2,49.2,48.7,48.7,52.5,53.3,56.2
,Taza,44.7,43.7,46.3,49.8,48.5,48.7,51.6,54.4,55.9
,Moulay Yacoub,44.6,39.8,40.0,40.3,46.3,49.7,49.1,51.1,48.7
,Kénitra,47.8,49.3,52.0,50.1,49.3,49.3,54.2,57.3,55.6
,Khémisset,40.3,42.5,45.4,50.1,51.3,47.6,55.1,58.7,57.6
,Rabat,,,,,,,,,
,Salé,41.9,41.4,41.3,42.9,42.5,42.6,47.5,52.9,54.9
,Sidi Kacem,41.2,44.0,46.5,48.2,45.4,47.3,51.3,51.8,52.3
,Sidi Slimane,40.1,43.6,45.7,47.1,46.5,43.2,46.6,49.1,50.8
,Skhirate-Témara,37.3,40.0,44.0,39.5,38.2,47.2,49.1,47.6,48.3
,Azilal,25.9,28.8,31.8,39.0,43.8,43.7,47.5,44.8,46.9
,Béni Mellal,38.1,39.3,40.0,40.6,45.9,46.8,48.6,46.7,48.4
,Fquih Ben Salah,39.4,37.7,39.5,43.8,46.0,47.1,50.8,50.0,50.2
,Khénifra,60.7,56.3,54.6,56.9,63.9,66.6,70.3,70.1,67.2
,Khouribga,57.6,56.1,56.6,59.6,59.6,60.8,62.7,65.7,68.3
,Benslimane,43.8,45.1,46.0,47.8,49.8,50.6,64.9,71.3,74.7
,Berrechid,46.8,46.5,48.2,49.1,53.5,52.5,62.6,62.2,59.9
,Casablanca,,,,,,,,,
,El Jadida,53.9,53.2,52.2,55.6,58.9,59.8,63.8,65.6,66.9
,Médiouna,42.0,41.6,43.0,43.0,45.6,42.0,42.7,46.2,47.4
,Mohammadia,42.0,40.4,38.8,38.6,38.6,37.9,40.9,42.8,44.0
,Nouaceur,42.8,40.2,37.6,38.4,46.5,47.1,48.5,50.4,53.2
,Settat,46.1,48.3,51.5,53.5,55.6,56.8,65.2,63.8,61.0
,Sidi Bennour,53.7,53.2,52.3,61.8,61.5,61.0,66.1,71.0,71.8
,Al Haouz,43.7,42.0,44.7,45.2,47.0,45.7,48.5,49.6,49.5
,Chichaoua,37.9,36.7,37.4,42.7,48.1,47.7,49.1,50.3,52.4
